Name,Date,Location,Type,Region,Latitude,Longitude,Weather
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,47.6348885,-122.05701598333333,Light Rain Likely
2024 University of Washington MFA + MDes Thesis Exhibition,5/24/2024 through 6/30/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Light Rain Likely
6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard,Not Found,Not Found,Weather data not found
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,47.2362108,-122.43044382406997,Light Rain Likely
A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown,47.6108495,-122.3323262,Light Rain Likely
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,47.6204553,-122.35225726215312,Light Rain Likely
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,47.6565246,-122.31173279895636,Light Rain Likely
Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard,47.6657081,-122.38280295082915,Light Rain Likely
AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,47.6219014,-122.353990491486,Light Rain Likely
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,Light Rain Likely
Alice in Shadowland,Now through 1/28/2024,12th Avenue Arts,Theatre,Capitol Hill / Central District,41.70339675,-91.5874015,Forecast data not found
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,43.6576535,-72.2840663,Cloudy then Light Snow Likely
Amazing Life,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,Light Rain Likely
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,Light Rain Likely
American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle,32.2275723,-110.9685178,Mostly Sunny
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,47.622554,-122.3386578,Light Rain Likely
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Light Rain Likely
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,Light Rain Likely
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,Light Rain Likely
Annie Eastwood with Kimball and the Fugitives,1/28/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,Light Rain Likely
Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown,47.60811665,-122.33697040702705,Light Rain Likely
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,47.60719095,-122.32405377084555,Light Rain Likely
Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,32.70030575,-94.94716355,Mostly Sunny
